team1,team2,team1_pred_score,team2_pred_score,team1_act_score,team2_act_score,date
PIT,CIN,3,3,3,2,08/23/2019
PIT,CIN,6,4,14,0,08/24/2019
PIT,CIN,4,4,9,8,08/25/2019
PIT,PHI,6,2,5,6,08/26/2019
PIT,PHI,3,4,5,4,08/27/2019
PIT,PHI,2,4,3,12,08/28/2019
PIT,COL,2,3,11,8,08/30/2019
PIT,COL,2,3,9,4,08/31/2019
PIT,COL,2,3,6,2,09/01/2019
PIT,MIA,5,2,4,5,09/03/2019
PIT,MIA,6,2,6,5,09/04/2019
PIT,MIA,6,2,7,10,09/05/2019
PIT,STL,6,4,9,4,09/06/2019
PIT,STL,6,2,1,10,09/07/2019
PIT,STL,5,4,0,2,09/08/2019
PIT,SF,5,3,6,4,09/10/2019
PIT,SF,2,3,4,5,09/11/2019
PIT,SF,2,3,6,3,09/12/2019
PIT,CHC,2,3,8,17,09/13/2019
PIT,CHC,2,3,1,14,09/14/2019
PIT,CHC,2,3,6,16,09/15/2019
PIT,SEA,2,3,0,6,09/17/2019
PIT,SEA,6,4,1,4,09/18/2019
PIT,SEA,6,4,5,6,09/19/2019
PIT,MIL,3,5,1,10,09/21/2019
PIT,MIL,3,4,3,4,09/22/2019
PIT,CHC,3,3,9,2,09/24/2019
PIT,CHC,3,3,4,2,09/25/2019
PIT,CHC,3,3,9,5,09/26/2019
PIT,CIN,3,4,6,5,09/27/2019
PIT,CIN,3,4,2,4,09/28/2019
PIT,CIN,3,4,1,3,09/29/2019
PIT,STL,3,5,4,5,07/25/2020
PIT,STL,3,5,5,1,07/26/2020
PIT,MIL,3,5,5,6,07/27/2020
PIT,MIL,5,5,8,6,07/28/2020
PIT,MIL,3,5,0,3,07/29/2020
PIT,CHC,3,2,3,6,08/01/2020
PIT,CHC,3,2,3,4,08/02/2020
PIT,MIN,4,4,4,5,08/04/2020
PIT,MIN,3,4,2,5,08/05/2020
PIT,MIN,3,4,6,5,08/06/2020
PIT,DET,3,2,13,17,08/07/2020
PIT,DET,2,4,5,11,08/08/2020
PIT,DET,3,3,1,2,08/09/2020
PIT,CIN,3,4,9,6,08/13/2020
PIT,CIN,5,4,1,8,08/14/2020
PIT,CLE,5,4,3,6,08/18/2020
PIT,CLE,5,4,1,6,08/19/2020
PIT,CLE,5,4,0,2,08/20/2020
PIT,MIL,2,5,7,2,08/21/2020
PIT,MIL,5,5,12,5,08/22/2020
PIT,MIL,2,5,5,4,08/23/2020
PIT,CHW,5,3,3,10,08/26/2020
PIT,MIL,4,2,1,9,08/29/2020
PIT,MIL,3,3,5,1,08/30/2020
PIT,MIL,2,2,5,6,08/31/2020
PIT,CHC,3,3,7,8,09/01/2020
PIT,CHC,6,3,2,8,09/02/2020
PIT,CHC,6,3,6,2,09/03/2020
PIT,CIN,3,4,4,3,09/04/2020
PIT,CIN,3,4,2,6,09/05/2020
PIT,CIN,3,4,3,2,09/06/2020
PIT,CHW,3,2,5,4,09/08/2020
PIT,CHW,3,2,1,8,09/09/2020
PIT,KC,3,3,4,7,09/12/2020
PIT,KC,3,3,0,11,09/13/2020
PIT,CIN,3,4,1,3,09/14/2020
PIT,CIN,3,4,1,4,09/15/2020
PIT,CIN,3,4,0,1,09/16/2020
PIT,STL,6,2,5,6,09/18/2020
PIT,STL,4,3,2,7,09/19/2020
PIT,STL,4,3,1,2,09/20/2020
PIT,CHC,6,1,0,5,09/21/2020
PIT,CHC,6,1,3,2,09/22/2020
PIT,CHC,6,1,2,1,09/23/2020
PIT,CHC,6,1,7,0,09/24/2020
PIT,CLE,6,4,3,4,09/25/2020
PIT,CLE,3,4,8,0,09/26/2020
PIT,CLE,3,4,6,8,09/27/2020
PIT,CHC,3,1,5,3,04/01/2021
PIT,CHC,2,1,1,5,04/03/2021
PIT,CHC,2,0,3,4,04/04/2021
PIT,CIN,5,3,3,5,04/05/2021
PIT,CIN,5,3,1,14,04/06/2021
PIT,CIN,5,3,4,11,04/07/2021
PIT,CHC,5,1,2,4,04/08/2021
PIT,CHC,5,3,8,2,04/10/2021
PIT,CHC,2,1,7,1,04/11/2021
PIT,SD,6,2,2,6,04/12/2021
PIT,SD,3,2,8,4,04/13/2021
PIT,SD,5,2,5,1,04/14/2021
PIT,SD,5,2,3,8,04/15/2021
PIT,MIL,3,3,1,7,04/17/2021
PIT,MIL,2,3,6,5,04/18/2021
PIT,DET,2,4,2,5,04/21/2021
PIT,DET,3,4,4,2,04/22/2021
PIT,MIN,4,6,0,2,04/24/2021
PIT,MIN,6,3,6,2,04/25/2021
PIT,KC,6,3,2,1,04/27/2021
PIT,KC,5,3,6,9,04/28/2021
PIT,STL,6,5,3,7,04/30/2021
PIT,STL,6,2,5,12,05/01/2021
PIT,STL,6,4,0,3,05/02/2021
PIT,SD,3,4,0,2,05/04/2021
PIT,SD,6,4,2,1,05/05/2021
PIT,SD,3,2,2,4,05/06/2021
PIT,CHC,3,6,2,3,05/07/2021
PIT,CHC,3,6,2,3,05/08/2021
PIT,CHC,3,6,6,5,05/09/2021
PIT,CIN,6,4,1,14,05/10/2021
PIT,CIN,6,4,7,2,05/11/2021
PIT,CIN,6,4,1,5,05/12/2021
PIT,SF,6,3,1,3,05/13/2021
PIT,SF,4,3,3,2,05/14/2021
PIT,SF,4,3,8,6,05/15/2021
PIT,SF,3,3,1,4,05/16/2021
PIT,STL,3,4,2,5,05/18/2021
PIT,STL,3,4,5,8,05/19/2021
PIT,ATL,3,4,6,4,05/20/2021
PIT,ATL,3,4,1,20,05/21/2021
PIT,ATL,3,4,1,6,05/22/2021
PIT,ATL,3,4,1,7,05/23/2021
PIT,CHC,3,3,3,4,05/25/2021
PIT,CHC,3,3,1,4,05/26/2021
PIT,CHC,3,3,3,5,05/27/2021
PIT,COL,6,2,7,0,05/29/2021
PIT,COL,3,2,3,4,05/30/2021
PIT,KC,3,3,3,7,06/01/2021
PIT,KC,3,3,5,10,06/02/2021
PIT,MIA,6,2,5,3,06/03/2021
PIT,MIA,6,2,9,2,06/04/2021
PIT,MIA,5,2,8,7,06/05/2021
PIT,MIA,5,2,1,3,06/06/2021
PIT,LAD,5,4,3,5,06/08/2021
PIT,LAD,5,4,1,2,06/09/2021
PIT,LAD,5,4,3,6,06/10/2021
PIT,MIL,6,5,4,7,06/12/2021
PIT,MIL,1,5,2,5,06/13/2021
PIT,WSH,4,5,2,3,06/14/2021
PIT,WSH,4,5,1,8,06/15/2021
PIT,WSH,6,5,1,3,06/16/2021
PIT,CLE,6,4,11,10,06/18/2021
PIT,CLE,4,4,6,3,06/19/2021
PIT,CLE,4,4,1,2,06/20/2021
PIT,CHW,4,2,6,3,06/22/2021
PIT,CHW,4,2,3,4,06/23/2021
PIT,STL,4,3,8,2,06/25/2021
PIT,STL,4,3,5,4,06/26/2021
PIT,STL,2,3,7,2,06/27/2021
PIT,COL,2,3,0,2,06/28/2021
PIT,COL,2,5,0,8,06/30/2021
PIT,MIL,3,4,2,7,07/01/2021
PIT,MIL,4,5,2,7,07/02/2021
PIT,MIL,4,4,2,11,07/03/2021
PIT,MIL,5,4,2,0,07/04/2021
PIT,ATL,4,4,11,1,07/05/2021
PIT,ATL,6,4,2,1,07/06/2021
PIT,ATL,6,4,3,14,07/07/2021
PIT,NYM,3,4,4,13,07/09/2021
PIT,NYM,3,4,2,4,07/10/2021
PIT,NYM,5,4,6,5,07/11/2021
PIT,NYM,5,4,4,1,07/16/2021
PIT,NYM,5,4,9,7,07/17/2021
PIT,NYM,5,4,6,7,07/18/2021
PIT,ARI,5,4,2,4,07/20/2021
PIT,ARI,5,4,4,6,07/21/2021
PIT,SF,5,3,6,4,07/24/2021
PIT,SF,5,3,1,6,07/25/2021
PIT,MIL,5,2,0,9,07/27/2021
PIT,MIL,5,3,3,7,07/28/2021
PIT,MIL,2,4,0,12,07/29/2021
PIT,PHI,3,4,7,0,07/30/2021
PIT,PHI,3,4,3,2,07/31/2021
PIT,PHI,3,4,4,15,08/01/2021
PIT,MIL,3,4,2,6,08/03/2021
PIT,MIL,3,4,2,4,08/04/2021
PIT,CIN,3,2,4,7,08/05/2021
PIT,CIN,6,2,0,10,08/06/2021
PIT,CIN,3,2,3,11,08/07/2021
PIT,CIN,5,2,2,3,08/08/2021
PIT,STL,5,3,1,4,08/10/2021
PIT,STL,6,3,0,4,08/11/2021
PIT,STL,4,3,6,7,08/12/2021
PIT,MIL,5,4,0,6,08/14/2021
PIT,MIL,3,4,1,2,08/15/2021
PIT,LAD,3,4,1,2,08/17/2021
PIT,LAD,3,4,3,4,08/18/2021
PIT,LAD,3,4,0,9,08/19/2021
PIT,STL,4,4,4,0,08/21/2021
PIT,STL,3,4,0,3,08/22/2021
PIT,ARI,6,3,6,5,08/23/2021
PIT,ARI,6,3,4,2,08/24/2021
PIT,ARI,3,3,2,5,08/25/2021
PIT,STL,6,4,11,7,08/26/2021
PIT,STL,3,3,3,4,08/27/2021
PIT,STL,6,4,0,13,08/28/2021
PIT,STL,3,4,4,3,08/29/2021
PIT,CHW,2,2,2,4,09/01/2021
PIT,CHW,3,2,3,6,09/02/2021
PIT,CHC,3,5,5,6,09/03/2021
PIT,CHC,4,5,6,7,09/04/2021
