team,season,score,walks_issued,total_bases,strikeouts,stolen_bases,game_played,wins,losses
STL,2016,768,465,2399,1263,34,158,86,76
PIT,2016,717,524,2181,1214,110,159,78,83
TOR,2016,759,461,2333,1314,54,162,89,73
TB,2016,676,491,2343,1371,60,163,68,94
NYM,2016,664,431,2238,1352,40,158,87,75
KC,2016,678,513,2214,1273,121,161,81,81
SF,2016,720,439,2228,1313,79,163,87,75
MIL,2016,677,528,2171,1175,180,161,73,89
MIN,2016,709,459,2312,1160,91,158,59,103
BAL,2016,727,536,2402,1234,19,159,89,73
SEA,2016,771,460,2401,1312,56,163,86,76
TEX,2016,773,539,2413,1162,100,163,95,67
WSH,2016,763,468,2338,1476,121,162,95,67
ATL,2016,647,544,2112,1220,75,160,68,93
PHI,2016,610,466,2089,1299,96,162,71,91
CIN,2016,709,617,2209,1229,137,160,68,94
LAD,2016,715,458,2231,1495,45,160,91,71
SD,2016,691,580,2127,1233,128,162,68,94
COL,2016,830,537,2522,1213,64,160,75,87
ARI,2016,752,603,2446,1318,137,162,69,93
CHC,2016,800,490,2341,1433,65,161,103,58
LAA,2016,727,500,2232,1146,73,163,74,88
CHW,2016,681,518,2257,1264,76,161,78,84
OAK,2016,643,455,2137,1171,50,160,69,93
HOU,2016,699,451,2255,1381,101,160,84,78
NYY,2016,688,448,2236,1410,72,164,84,78
BOS,2016,871,488,2584,1350,82,160,93,69
CLE,2016,766,452,2320,1380,133,159,94,67
DET,2016,740,459,2405,1218,57,160,86,75
MIA,2016,650,593,2167,1373,70,160,79,82
NYY,2017,824,477,2396,1477,89,154,91,71
TB,2017,698,495,2298,1338,92,160,80,82
SF,2017,645,500,2126,1219,77,162,64,98
ARI,2017,812,516,2457,1482,103,162,93,69
CHC,2017,819,557,2402,1432,63,162,92,70
STL,2017,742,491,2269,1332,78,159,83,79
ATL,2017,704,568,2221,1198,73,156,72,90
NYM,2017,703,569,2278,1330,56,155,70,92
MIA,2017,766,608,2378,1177,90,159,77,85
WSH,2017,794,478,2399,1407,104,156,97,65
PIT,2017,662,509,2091,1253,67,161,75,87
BOS,2017,782,464,2287,1561,105,160,93,69
COL,2017,815,520,2424,1257,58,159,87,75
MIL,2017,710,549,2283,1328,131,159,86,76
TOR,2017,696,542,2274,1373,51,162,76,86
BAL,2017,743,583,2461,1243,32,163,75,87
SD,2017,591,547,2077,1310,87,160,71,91
LAD,2017,768,432,2342,1534,77,161,104,58
KC,2017,660,491,2190,1163,86,156,80,82
MIN,2017,766,442,2241,1092,87,151,85,77
PHI,2017,678,512,2214,1285,57,158,66,96
CIN,2017,753,631,2372,1300,120,162,68,94
CLE,2017,771,383,2329,1544,85,154,102,60
TEX,2017,768,557,2265,1088,110,158,78,84
SEA,2017,760,495,2367,1250,90,163,78,84
HOU,2017,857,484,2589,1514,93,155,101,61
LAA,2017,724,478,2193,1327,137,165,80,82
OAK,2017,707,496,2298,1170,55,159,75,87
DET,2017,725,528,2297,1162,65,157,64,98
CHW,2017,693,615,2261,1166,70,160,67,95
CHC,2018,733,581,2227,1283,61,156,95,67
MIA,2018,584,595,1935,1227,43,157,63,98
STL,2018,758,582,2256,1344,59,162,88,74
NYM,2018,600,458,1951,1355,69,152,77,85
MIN,2018,714,559,2171,1323,44,156,78,84
BAL,2018,580,547,2009,1114,73,150,47,115
HOU,2018,795,431,2304,1675,73,161,103,59
TEX,2018,737,491,2205,1121,74,162,67,95
NYY,2018,803,467,2342,1564,62,154,100,62
TOR,2018,682,535,2267,1271,45,159,73,89
BOS,2018,843,496,2460,1517,120,158,108,54
TB,2018,703,496,2190,1409,126,160,90,72
LAA,2018,729,559,2287,1407,89,164,80,82
OAK,2018,819,475,2456,1230,35,161,97,65
PHI,2018,645,471,2007,1395,62,154,80,82
ATL,2018,738,618,2260,1382,90,157,90,72
MIL,2018,749,548,2323,1412,121,161,95,67
SD,2018,607,502,2055,1362,96,158,66,96
CHW,2018,625,618,2112,1202,96,154,62,100
