team1,team2,team1_pred_score,team2_pred_score,team1_act_score,team2_act_score,date
PIT,CIN,6,4,14,0,2019/08/24
PIT,PHI,6,2,5,6,2019/08/26
PIT,PHI,3,4,5,4,2019/08/27
PIT,PHI,2,4,3,12,2019/08/28
PIT,COL,2,3,11,8,2019/08/30
PIT,COL,2,3,9,4,2019/08/31
PIT,COL,2,3,6,2,2019/09/01
PIT,MIA,5,2,4,5,2019/09/03
PIT,MIA,6,2,6,5,2019/09/04
PIT,MIA,6,2,7,10,2019/09/05
PIT,STL,6,4,9,4,2019/09/06
PIT,STL,6,2,1,10,2019/09/07
PIT,STL,5,4,0,2,2019/09/08
PIT,SF,5,3,6,4,2019/09/10
PIT,SF,2,3,4,5,2019/09/11
PIT,SF,2,3,6,3,2019/09/12
PIT,CHC,2,3,8,17,2019/09/13
PIT,CHC,2,3,1,14,2019/09/14
PIT,CHC,2,3,6,16,2019/09/15
PIT,SEA,2,3,0,6,2019/09/17
PIT,SEA,6,4,1,4,2019/09/18
PIT,SEA,6,4,5,6,2019/09/19
PIT,MIL,3,5,1,10,2019/09/21
PIT,MIL,3,4,3,4,2019/09/22
PIT,CIN,3,4,6,5,2019/09/27
PIT,CIN,3,4,2,4,2019/09/28
PIT,CIN,3,4,1,3,2019/09/29
PIT,STL,3,5,4,5,2020/07/25
PIT,STL,3,5,5,1,2020/07/26
PIT,MIL,3,5,5,6,2020/07/27
PIT,MIL,3,5,0,3,2020/07/29
PIT,CHC,3,2,3,6,2020/08/01
PIT,CHC,3,2,3,4,2020/08/02
PIT,MIN,3,4,2,5,2020/08/05
PIT,MIN,3,4,6,5,2020/08/06
PIT,DET,3,2,13,17,2020/08/07
PIT,DET,2,4,5,11,2020/08/08
PIT,CIN,3,4,9,6,2020/08/13
PIT,CIN,5,4,1,8,2020/08/14
PIT,CLE,5,4,3,6,2020/08/18
PIT,CLE,5,4,1,6,2020/08/19
PIT,CLE,5,4,0,2,2020/08/20
PIT,MIL,2,5,7,2,2020/08/21
PIT,MIL,2,5,5,4,2020/08/23
PIT,CHW,5,3,3,10,2020/08/26
PIT,MIL,4,2,1,9,2020/08/29
PIT,CHC,6,3,2,8,2020/09/02
PIT,CHC,6,3,6,2,2020/09/03
PIT,CIN,3,4,4,3,2020/09/04
PIT,CIN,3,4,2,6,2020/09/05
PIT,CIN,3,4,3,2,2020/09/06
PIT,CHW,3,2,5,4,2020/09/08
PIT,CHW,3,2,1,8,2020/09/09
PIT,CIN,3,4,1,3,2020/09/14
PIT,CIN,3,4,1,4,2020/09/15
PIT,CIN,3,4,0,1,2020/09/16
PIT,STL,6,2,5,6,2020/09/18
PIT,STL,4,3,2,7,2020/09/19
PIT,STL,4,3,1,2,2020/09/20
PIT,CHC,6,1,0,5,2020/09/21
PIT,CHC,6,1,3,2,2020/09/22
PIT,CHC,6,1,2,1,2020/09/23
PIT,CHC,6,1,7,0,2020/09/24
PIT,CLE,6,4,3,4,2020/09/25
PIT,CLE,3,4,8,0,2020/09/26
PIT,CLE,3,4,6,8,2020/09/27
PIT,CHC,3,1,5,3,2021/04/01
PIT,CHC,2,1,1,5,2021/04/03
PIT,CHC,2,0,3,4,2021/04/04
PIT,CIN,5,3,3,5,2021/04/05
PIT,CIN,5,3,1,14,2021/04/06
PIT,CIN,5,3,4,11,2021/04/07
PIT,CHC,5,1,2,4,2021/04/08
PIT,CHC,5,3,8,2,2021/04/10
PIT,CHC,2,1,7,1,2021/04/11
PIT,SD,6,2,2,6,2021/04/12
PIT,SD,3,2,8,4,2021/04/13
PIT,SD,5,2,5,1,2021/04/14
PIT,SD,5,2,3,8,2021/04/15
PIT,MIL,2,3,6,5,2021/04/18
PIT,DET,2,4,2,5,2021/04/21
PIT,DET,3,4,4,2,2021/04/22
PIT,MIN,4,6,0,2,2021/04/24
PIT,MIN,6,3,6,2,2021/04/25
PIT,KC,6,3,2,1,2021/04/27
PIT,KC,5,3,6,9,2021/04/28
PIT,STL,6,5,3,7,2021/04/30
PIT,STL,6,2,5,12,2021/05/01
PIT,STL,6,4,0,3,2021/05/02
PIT,SD,3,4,0,2,2021/05/04
PIT,SD,6,4,2,1,2021/05/05
PIT,SD,3,2,2,4,2021/05/06
PIT,CHC,3,6,2,3,2021/05/07
PIT,CHC,3,6,2,3,2021/05/08
PIT,CHC,3,6,6,5,2021/05/09
PIT,CIN,6,4,1,14,2021/05/10
PIT,CIN,6,4,7,2,2021/05/11
PIT,CIN,6,4,1,5,2021/05/12
PIT,SF,6,3,1,3,2021/05/13
PIT,SF,4,3,3,2,2021/05/14
PIT,SF,4,3,8,6,2021/05/15
PIT,STL,3,4,2,5,2021/05/18
PIT,STL,3,4,5,8,2021/05/19
PIT,ATL,3,4,6,4,2021/05/20
PIT,ATL,3,4,1,20,2021/05/21
PIT,ATL,3,4,1,6,2021/05/22
PIT,ATL,3,4,1,7,2021/05/23
PIT,COL,6,2,7,0,2021/05/29
PIT,COL,3,2,3,4,2021/05/30
PIT,MIA,6,2,5,3,2021/06/03
PIT,MIA,6,2,9,2,2021/06/04
