Season,Teams,Hitter,AB,R,H,RBI,BB,K,SLG,AVG,OBP
2016,STL,M. Carpenter,473,81,128,68,81,108,0.502,0.271,0.377
2016,STL,T. Pham,159,26,36,17,20,71,0.479,0.226,0.335
2016,STL,M. Adams,297,37,74,54,25,81,0.465,0.249,0.332
2016,STL,M. Holliday,382,48,94,62,35,71,0.456,0.246,0.330
2016,STL,R. Grichuk,446,66,107,68,28,141,0.429,0.240,0.338
2016,STL,S. Piscotty,582,86,159,85,51,133,0.478,0.273,0.367
2016,STL,Y. Molina,534,56,164,58,39,63,0.385,0.307,0.373
2016,STL,K. Wong,313,39,75,23,34,52,0.296,0.240,0.324
2016,STL,J. Gyorko,400,58,97,59,37,96,0.468,0.242,0.338
2016,STL,A. Wainwright,62,6,13,18,2,17,0.467,0.210,0.279
2016,STL,J. Hazelbaker,200,35,47,28,18,64,0.622,0.235,0.349
2016,STL,S. Oh,2,0,0,0,0,2,0.000,0.000,0.000
2016,STL,S. Maness,1,0,0,0,0,1,0.000,0.000,0.000
2016,STL,B. Moss,413,66,93,67,39,141,0.541,0.225,0.332
2016,STL,G. Garcia,214,33,59,17,38,50,0.508,0.276,0.372
2016,STL,A. Diaz,404,71,121,65,41,60,0.605,0.300,0.404
2016,STL,K. Siegrist,0,0,0,0,0,0,0,0,0
2016,STL,J. Broxton,0,0,0,0,0,0,0,0,0
2016,STL,T. Rosenthal,1,0,0,0,0,1,0.000,0.000,0.000
2016,STL,M. Wacha,39,1,1,0,3,22,0.018,0.026,0.050
2016,STL,T. Lyons,4,0,0,0,0,2,0.000,0.000,0.000
2016,STL,M. Bowman,1,0,0,0,0,1,0.000,0.000,0.000
2016,STL,M. Leake,49,3,7,4,3,19,0.161,0.143,0.192
2016,STL,J. Garcia,41,3,7,4,2,17,0.273,0.171,0.227
2016,STL,E. Fryer,38,7,14,5,3,7,0.676,0.368,0.467
2016,STL,C. Martinez,59,5,14,6,0,13,0.254,0.237,0.297
2016,STL,R. Tejada,34,6,6,3,2,8,0.265,0.176,0.300
2016,STL,D. Kiekhefer,1,0,0,0,0,0,0.000,0.000,0.000
2016,STL,J. Peralta,289,37,75,29,20,56,0.449,0.260,0.344
2016,STL,B. Pena,13,0,2,0,1,2,0.145,0.154,0.154
2016,STL,S. Tuivailala,0,0,0,0,0,0,0,0,0
2016,STL,M. McKenry,1,0,0,0,0,1,0.000,0.000,0.000
2016,STL,A. Rosario,38,3,7,2,2,5,0.299,0.184,0.244
2016,STL,M. Socolovich,0,0,0,0,0,0,0,0,0
2016,STL,M. Mayers,0,0,0,0,0,0,0,0,0
2016,STL,J. Williams,2,0,0,0,0,1,0.000,0.000,0.000
2016,STL,Z. Duke,0,0,0,0,0,0,0,0,0
2016,STL,A. Reyes,14,0,1,1,0,5,0.066,0.071,0.071
2016,STL,L. Weaver,13,1,5,0,0,4,0.440,0.385,0.429
2016,STL,C. Kelly,13,1,2,1,0,2,0.481,0.154,0.214
2016,STL,J. Martinez,16,4,7,1,2,1,0.376,0.438,0.550
2016,PIT,J. Jaso,384,45,104,43,45,74,0.409,0.271,0.347
2016,PIT,S. Rodriguez,300,50,81,57,34,102,0.566,0.270,0.374
2016,PIT,A. McCutchen,600,82,153,79,71,143,0.422,0.255,0.345
2016,PIT,D. Freese,441,64,119,57,45,143,0.411,0.270,0.362
2016,PIT,S. Marte,499,73,154,47,23,104,0.460,0.309,0.397
2016,PIT,F. Cervelli,331,43,88,35,56,73,0.349,0.266,0.350
2016,PIT,G. Polanco,532,81,138,86,53,119,0.505,0.259,0.357
2016,PIT,J. Harrison,491,59,140,61,19,77,0.379,0.285,0.362
2016,PIT,J. Mercer,522,67,133,60,52,84,0.367,0.255,0.340
2016,PIT,F. Liriano,42,2,12,5,0,16,0.434,0.286,0.318
2016,PIT,T. Watson,0,0,0,0,0,0,0,0,0
2016,PIT,M. Joyce,232,45,56,42,59,67,0.561,0.241,0.365
2016,PIT,N. Feliz,0,0,0,0,0,0,0,0,0
2016,PIT,M. Morse,8,0,0,0,0,2,0.000,0.000,0.000
2016,PIT,M. Melancon,0,0,0,0,0,0,0,0,0
2016,PIT,K. Lobstein,2,0,0,0,0,1,0.000,0.000,0.000
2016,PIT,J. Niese,30,1,3,1,2,14,0.118,0.100,0.129
2016,PIT,A. Caminero,2,0,0,0,0,1,0.000,0.000,0.000
2016,PIT,C. Luebke,0,0,0,0,0,0,0,0,0
2016,PIT,J. Nicasio,19,1,3,1,0,7,0.134,0.158,0.200
2016,PIT,C. Figueroa,27,0,4,3,1,2,0.097,0.148,0.148
2016,PIT,R. Vogelsong,19,1,1,1,1,13,0.006,0.053,0.100
2016,PIT,G. Cole,43,3,8,3,0,21,0.214,0.186,0.239
2016,PIT,C. Stewart,98,10,21,7,12,15,0.398,0.214,0.287
2016,PIT,J. Locke,32,0,4,0,1,17,0.099,0.125,0.125
2016,PIT,A.J. Schugel,2,0,0,0,0,1,0.000,0.000,0.000
2016,PIT,R. Scahill,3,0,0,0,0,2,0.000,0.000,0.000
2016,PIT,J. Rogers,25,2,2,2,7,9,0.270,0.080,0.148
2016,PIT,J. Hughes,1,0,0,0,0,1,0.000,0.000,0.000
2016,PIT,J. Kang,318,45,81,62,36,79,0.597,0.255,0.347
2016,PIT,A. Hanson,31,5,7,1,2,5,0.310,0.226,0.333
2016,PIT,W. Boscan,3,0,1,1,0,1,0.611,0.333,0.333
2016,PIT,J. Taillon,32,0,3,2,0,17,0.030,0.094,0.094
2016,PIT,E. Kratz,56,3,6,4,0,18,0.125,0.107,0.153
2016,PIT,C. Partch,0,0,0,0,0,0,0,0,0
2016,PIT,J. Rondon,0,0,0,0,0,0,0,0,0
2016,PIT,J. Stallings,15,0,6,2,0,4,0.274,0.400,0.400
2016,PIT,A. Frazier,146,21,44,11,12,26,0.498,0.301,0.389
2016,PIT,C. Kuhl,23,0,2,0,1,9,0.115,0.087,0.087
2016,PIT,E. Fryer,78,12,17,8,10,18,0.361,0.218,0.322
2016,PIT,S. Brault,8,1,2,0,0,0,0.348,0.250,0.333
2016,PIT,T. Glasnow,7,0,1,0,0,4,0.296,0.143,0.143
2016,PIT,J. Bell,128,18,35,19,21,19,0.544,0.273,0.363
2016,PIT,E. Diaz,4,0,0,1,0,1,0.000,0.000,0.000
2016,PIT,M. Moroff,2,0,0,0,0,2,0.000,0.000,0.000
2016,PIT,F. Vazquez,0,0,0,0,0,0,0,0,0
2016,PIT,A. Bastardo,0,0,0,0,0,0,0,0,0
2016,PIT,I. Nova,22,1,3,0,0,15,0.203,0.136,0.174
2016,PIT,K. Marte,0,0,0,0,0,0,0,0,0
2016,PIT,T. Williams,1,1,0,1,2,1,0.000,0.000,0.500
2016,PIT,P. Florimon,24,4,5,4,1,12,0.557,0.208,0.321
2016,PIT,D. Hutchison,1,0,0,0,0,1,0.000,0.000,0.000
2016,PIT,W. LeBlanc,1,0,0,0,0,1,0.000,0.000,0.000
2016,PIT,Z. Phillips,0,0,0,0,0,0,0,0,0
2016,PIT,P. Coke,0,0,0,0,0,0,0,0,0
2016,TOR,K. Pillar,580,60,149,55,26,96,0.369,0.257,0.327
2016,TOR,J. Donaldson,613,128,179,104,112,126,0.583,0.292,0.414
2016,TOR,J. Bautista,456,73,105,74,93,115,0.473,0.230,0.336
2016,TOR,E. Encarnacion,636,104,168,136,91,143,0.495,0.264,0.368
2016,TOR,T. Tulowitzki,527,57,133,84,45,105,0.421,0.252,0.325
2016,TOR,C. Colabello,29,0,2,1,2,9,0.052,0.069,0.069
2016,TOR,J. Smoak,301,33,65,34,40,114,0.388,0.216,0.293
2016,TOR,M. Saunders,511,72,132,58,60,167,0.528,0.258,0.350
2016,TOR,R. Martin,488,64,108,75,67,162,0.284,0.221,0.312
2016,TOR,R. Goins,188,14,35,13,10,50,0.272,0.186,0.243
2016,TOR,J. Thole,118,7,20,7,13,28,0.263,0.169,0.216
2016,TOR,E. Carrera,303,53,77,26,29,78,0.396,0.254,0.365
2016,TOR,D. Barney,294,36,76,19,22,51,0.381,0.259,0.339
2016,TOR,J.A. Happ,7,2,2,0,0,3,0.326,0.286,0.444
2016,TOR,B. Cecil,0,0,0,0,0,0,0,0,0
2016,TOR,D. Storen,0,0,0,0,0,0,0,0,0
2016,TOR,M. Dominguez,11,0,0,0,1,3,0.000,0.000,0.000
2016,TOR,R. Osuna,0,0,0,0,0,0,0,0,0
2016,TOR,A. Sanchez,9,0,0,0,1,5,0.000,0.000,0.000
2016,TOR,A. Burns,6,2,0,0,0,2,0.000,0.000,0.250
2016,TOR,G. Floyd,1,0,0,0,0,0,0.000,0.000,0.000
2016,TOR,J. Chavez,0,0,0,0,0,0,0,0,0
2016,TOR,R.A. Dickey,1,0,0,0,0,1,0.000,0.000,0.000
2016,TOR,R. Tepera,0,0,0,0,0,0,0,0,0
2016,TOR,C. Girodo,0,0,0,0,0,0,0,0,0
2016,TOR,J. Biagini,0,0,0,0,0,0,0,0,0
2016,TOR,M. Stroman,5,1,0,0,0,0,0.000,0.000,0.167
2016,TOR,J. Paredes,15,2,4,2,2,4,0.791,0.267,0.353
2016,TOR,D. Travis,422,56,124,50,20,88,0.417,0.294,0.377
2016,TOR,M. Estrada,5,0,0,0,0,3,0.000,0.000,0.000
2016,TOR,D. Ceciliani,27,2,3,1,1,14,0.161,0.111,0.172
2016,TOR,J. Lake,35,5,7,2,4,11,0.503,0.200,0.300
2016,TOR,J. Grilli,0,0,0,0,0,0,0,0,0
2016,TOR,B.J. Upton,159,19,31,17,15,54,0.281,0.195,0.281
2016,TOR,J. Benoit,0,0,0,0,0,0,0,0,0
2016,TOR,F. Morales,0,0,0,0,0,0,0,0,0
2016,TOR,D. Navarro,35,1,8,3,3,8,0.369,0.229,0.250
2016,TOR,D. Pompey,2,3,0,0,0,1,0.000,0.000,0.600
2016,TB,L. Forsythe,523,77,136,52,47,128,0.460,0.260,0.355
2016,TB,L. Morrison,359,45,85,43,37,92,0.292,0.237,0.322
2016,TB,E. Longoria,646,82,174,99,41,147,0.501,0.269,0.352
2016,TB,C. Dickerson,519,58,127,71,33,136,0.467,0.245,0.321
2016,TB,D. Jennings,203,22,41,20,21,60,0.302,0.202,0.280
2016,TB,B. Miller,558,75,137,83,48,150,0.422,0.246,0.335
2016,TB,S. Souza Jr.,435,59,108,50,32,160,0.459,0.248,0.338
2016,TB,K. Kiermaier,370,56,91,37,42,74,0.392,0.246,0.345
2016,TB,H. Conger,125,6,24,10,12,41,0.256,0.192,0.229
2016,TB,S. Pearce,214,26,65,30,27,41,0.466,0.304,0.379
2016,TB,C. Casali,235,24,44,27,25,84,0.319,0.187,0.263
2016,TB,B. Guyer,212,27,51,18,12,42,0.468,0.241,0.326
2016,TB,T. Beckham,201,27,51,18,14,67,0.352,0.254,0.342
2016,TB,T. Motter,80,11,15,9,11,19,0.403,0.188,0.286
2016,TB,M. Mahtook,185,16,36,11,7,68,0.202,0.195,0.259
2016,TB,A. Colome,0,0,0,0,0,0,0,0,0
2016,TB,E. Ramirez,0,0,0,0,0,0,0,0,0
2016,TB,E. Romero,0,0,0,0,0,0,0,0,0
2016,TB,M. Moore,7,0,2,0,0,2,0.337,0.286,0.286
2016,TB,J. Odorizzi,4,0,1,1,0,1,0.375,0.250,0.250
2016,TB,T. Sturdevant,0,0,0,0,0,0,0,0,0
2016,TB,X. Cedeno,0,0,0,0,0,0,0,0,0
2016,TB,N. Franklin,174,18,47,26,12,42,0.461,0.270,0.339
2016,TB,C. Archer,7,1,0,0,1,3,0.000,0.000,0.125
2016,TB,D. Eveland,0,0,0,0,0,0,0,0,0
2016,TB,R. Garton,0,0,0,0,0,0,0,0,0
2016,TB,J. Decker,55,1,8,1,4,14,0.110,0.145,0.161
2016,TB,O. Arcia,54,7,14,7,6,19,0.403,0.259,0.344
2016,TB,L. Maile,119,10,27,15,4,36,0.344,0.227,0.287
2016,TB,D. Smyly,2,0,0,0,0,0,0.000,0.000,0.000
2016,TB,D. Floro,0,0,0,0,0,0,0,0,0
2016,TB,B. Snell,2,0,0,0,1,1,0.000,0.000,0.000
2016,TB,M. Andriese,1,0,0,0,0,0,0.000,0.000,0.000
2016,TB,K. Jepsen,0,0,0,0,0,0,0,0,0
2016,TB,R. Shaffer,48,5,12,4,5,18,0.365,0.250,0.321
2016,TB,B. Wilson,87,14,20,9,5,28,0.353,0.230,0.337
2016,TB,M. Duffy,76,9,21,7,3,13,0.333,0.276,0.353
2016,TB,A. Ramirez,57,5,14,7,4,7,0.352,0.246,0.306
2016,TB,J. Querecuto,11,1,1,2,0,6,0.211,0.091,0.167
2016,NYM,C. Granderson,549,88,129,59,74,130,0.411,0.235,0.341
2016,NYM,D. Wright,137,18,31,14,26,55,0.408,0.226,0.316
2016,NYM,Y. Cespedes,483,72,134,86,51,110,0.562,0.277,0.371
2016,NYM,L. Duda,153,20,35,23,15,36,0.406,0.229,0.318
2016,NYM,N. Walker,412,57,116,55,42,84,0.476,0.282,0.369
2016,NYM,M. Conforto,304,38,67,42,36,89,0.496,0.220,0.307
2016,NYM,A. Cabrera,524,65,147,62,39,103,0.414,0.281,0.360
2016,NYM,T. d'Arnaud,251,27,62,15,19,50,0.290,0.247,0.320
2016,NYM,E. Campbell,76,9,13,9,10,25,0.220,0.171,0.259
2016,NYM,J. Lagares,142,15,34,9,11,27,0.391,0.239,0.312
2016,NYM,A. De Aza,234,31,48,25,26,67,0.298,0.205,0.298
2016,NYM,J. deGrom,42,6,6,2,3,12,0.087,0.143,0.250
2016,NYM,W. Flores,307,38,82,49,23,48,0.371,0.267,0.348
2016,NYM,J. Henderson,0,0,0,0,0,0,0,0,0
2016,NYM,H. Robles,3,0,0,0,0,2,0.000,0.000,0.000
2016,NYM,J. Blevins,1,0,0,0,0,0,0.000,0.000,0.000
2016,NYM,A. Bastardo,0,0,0,0,0,0,0,0,0
2016,NYM,B. Colon,60,4,5,2,1,40,0.186,0.083,0.141
2016,NYM,J. Familia,0,0,0,0,0,0,0,0,0
2016,NYM,K. Plawecki,132,6,26,11,17,33,0.266,0.197,0.232
2016,NYM,M. Harvey,22,2,3,0,0,8,0.182,0.136,0.208
2016,NYM,A. Reed,0,0,0,0,0,0,0,0,0
2016,NYM,L. Verrett,19,1,1,0,0,12,0.227,0.053,0.100
2016,NYM,S. Matz,36,0,5,2,4,11,0.284,0.139,0.139
2016,NYM,N. Syndergaard,60,6,11,6,7,36,0.360,0.183,0.258
2016,NYM,R. Montero,5,0,0,0,0,3,0.000,0.000,0.000
2016,NYM,R. Rivera,188,12,42,26,16,54,0.337,0.223,0.270
2016,NYM,S. Gilmartin,0,0,0,0,0,0,0,0,0
2016,NYM,M. Reynolds,89,11,20,13,4,34,0.358,0.225,0.310
2016,NYM,T. Kelly,59,9,15,7,11,9,0.246,0.254,0.353
2016,NYM,J. Loney,344,30,91,34,17,37,0.406,0.265,0.324
2016,NYM,K. Johnson,183,17,49,24,15,40,0.374,0.268,0.330
2016,NYM,E. Goeddel,0,0,0,0,0,0,0,0,0
2016,NYM,B. Nimmo,73,12,20,6,6,20,0.293,0.274,0.376
2016,NYM,S. Lugo,16,2,3,1,1,2,0.171,0.188,0.278
2016,NYM,J. Reyes,259,45,68,24,23,49,0.469,0.263,0.372
2016,NYM,J. Ruggiano,20,4,7,6,2,9,0.550,0.350,0.458
2016,NYM,J. Bruce,172,14,37,19,17,44,0.508,0.215,0.274
2016,NYM,J. Niese,0,0,0,0,0,0,0,0,0
2016,NYM,J. Edgin,0,0,0,0,0,0,0,0,0
2016,NYM,T.J. Rivera,109,10,36,16,3,17,0.427,0.330,0.387
2016,NYM,G. Ynoa,3,0,0,0,0,0,0.000,0.000,0.000
2016,NYM,J. Smoker,1,0,0,0,0,1,0.000,0.000,0.000
2016,NYM,R. Gsellman,15,0,1,0,0,9,0.024,0.067,0.067
2016,NYM,F. Salas,0,0,0,0,0,0,0,0,0
2016,NYM,G. Cecchini,6,2,2,2,0,2,0.511,0.333,0.500
2016,KC,A. Escobar,641,58,167,58,27,98,0.321,0.261,0.322
2016,KC,M. Moustakas,104,12,25,13,9,13,0.494,0.240,0.319
2016,KC,L. Cain,400,57,115,57,32,84,0.387,0.287,0.376
2016,KC,E. Hosmer,609,80,162,105,57,133,0.470,0.266,0.351
2016,KC,K. Morales,562,67,149,94,48,121,0.402,0.265,0.343
2016,KC,A. Gordon,448,63,99,41,53,149,0.342,0.221,0.317
2016,KC,S. Perez,517,57,129,64,22,119,0.473,0.250,0.324
2016,KC,O. Infante,134,16,32,11,9,23,0.364,0.239,0.320
2016,KC,R. Fuentes,41,2,13,5,3,8,0.249,0.317,0.349
2016,KC,P. Orlando,457,52,138,43,13,105,0.421,0.302,0.373
2016,KC,C. Colon,147,13,34,13,11,31,0.287,0.231,0.294
2016,KC,T. Gore,3,6,0,0,0,1,0.000,0.000,0.667
2016,KC,D. Butera,124,18,35,16,8,37,0.498,0.282,0.373
2016,KC,J. Dyson,303,47,84,25,26,39,0.336,0.277,0.374
2016,KC,C. Cuthbert,479,50,131,47,32,99,0.414,0.273,0.342
2016,KC,W. Merrifield,311,44,88,29,19,72,0.422,0.283,0.372
2016,KC,B. Eibner,78,11,18,10,6,23,0.552,0.231,0.326
2016,KC,T. Cruz,4,0,0,1,0,3,0.000,0.000,0.000
2016,KC,I. Kennedy,3,0,0,0,0,2,0.000,0.000,0.000
