Season,Team,Hitter,Indicator,Value
2016,BOS,M. Betts,AB,682.000
2016,CHC,K. Bryant,AB,672.000
2016,LAD,C. Seager,AB,671.000
2016,CLE,J. Kipnis,AB,671.000
2016,BOS,X. Bogaerts,AB,664.000
2016,CLE,F. Lindor,AB,662.000
2016,SEA,R. Cano,AB,656.000
2016,CHC,A. Rizzo,AB,651.000
2016,BAL,M. Machado,AB,648.000
2016,TB,E. Longoria,AB,646.000
2016,LAA,M. Trout,R,0.226
2016,TOR,J. Donaldson,R,0.209
2016,CHC,K. Bryant,R,0.196
2016,COL,C. Blackmon,R,0.192
2016,COL,D. LeMahieu,R,0.188
2016,DET,I. Kinsler,R,0.188
2016,COL,N. Arenado,R,0.188
2016,ARI,P. Goldschmidt,R,0.183
2016,CIN,J. Votto,R,0.182
2016,BOS,M. Betts,R,0.180
2016,WSH,D. Murphy,H,0.349
2016,COL,D. LeMahieu,H,0.348
2016,HOU,J. Altuve,H,0.338
2016,CIN,J. Votto,H,0.326
2016,COL,C. Blackmon,H,0.324
2016,ARI,J. Segura,H,0.319
2016,LAA,M. Trout,H,0.318
2016,BOS,M. Betts,H,0.317
2016,BOS,D. Pedroia,H,0.315
2016,DET,M. Cabrera,H,0.315
2016,BOS,D. Ortiz,RBI,0.234
2016,COL,N. Arenado,RBI,0.215
2016,TOR,E. Encarnacion,RBI,0.214
2016,LAA,A. Pujols,RBI,0.204
2016,BOS,H. Ramirez,RBI,0.201
2016,WSH,D. Murphy,RBI,0.201
2016,CIN,A. Duvall,RBI,0.187
2016,OAK,K. Davis,RBI,0.184
2016,CHC,A. Rizzo,RBI,0.183
2016,CHC,A. Russell,RBI,0.182
2016,WSH,B. Harper,BB,0.218
2016,LAA,M. Trout,BB,0.209
2016,CIN,J. Votto,BB,0.194
2016,SF,B. Belt,BB,0.192
2016,ARI,P. Goldschmidt,BB,0.190
2016,TOR,J. Donaldson,BB,0.183
2016,CHC,B. Zobrist,BB,0.176
2016,CLE,C. Santana,BB,0.169
2016,BAL,C. Davis,BB,0.155
