Season,Teams,Pitcher,IP,H,R,ER,BB,K,HR,ERA
2016,STL,A. Wainwright,195,220,108,102,59,161,22,4.71
2016,STL,S. Oh,75,55,20,17,18,103,5,2.04
2016,STL,S. Maness,28,34,14,12,8,16,2,3.86
2016,STL,M. Wacha,135,159,86,78,45,114,15,5.20
2016,STL,T. Lyons,44,35,18,18,14,46,9,3.68
2016,STL,K. Siegrist,57,42,20,19,26,66,10,3.00
2016,STL,J. Broxton,53,52,32,29,24,57,7,4.92
2016,STL,T. Rosenthal,38,48,22,20,29,56,3,4.74
2016,STL,M. Leake,175,203,101,92,30,125,20,4.73
2016,STL,M. Bowman,60,59,31,26,20,52,4,3.90
2016,STL,J. Garcia,167,179,94,89,57,150,26,4.80
2016,STL,C. Martinez,194,169,68,66,70,174,15,3.06
2016,STL,D. Kiekhefer,17,24,13,13,7,14,2,6.88
2016,STL,R. Tejada,1,2,2,2,0,0,2,18.00
2016,STL,S. Tuivailala,8,12,6,6,6,7,0,6.75
2016,STL,M. Socolovich,15,5,4,4,5,16,2,2.40
2016,STL,M. Mayers,5,16,16,16,3,2,3,28.80
2016,STL,J. Williams,16,22,15,11,6,8,4,6.19
2016,STL,Z. Duke,18,17,5,5,13,26,0,2.50
2016,STL,A. Reyes,44,33,8,8,23,52,1,1.64
2016,STL,L. Weaver,35,46,29,23,12,45,7,5.91
2016,PIT,F. Liriano,110,115,76,69,69,116,19,5.65
2016,PIT,T. Watson,65,52,26,23,20,58,10,3.18
2016,PIT,N. Feliz,47,40,21,21,21,62,10,4.02
2016,PIT,M. Melancon,40,31,10,7,9,39,2,1.57
2016,PIT,J. Niese,107,132,63,60,38,76,21,5.05
2016,PIT,A. Caminero,34,46,17,16,22,32,4,4.24
2016,PIT,K. Lobstein,24,25,11,11,12,15,2,4.12
2016,PIT,J. Nicasio,114,117,64,59,45,138,15,4.66
2016,PIT,C. Luebke,7,15,9,9,11,9,2,11.57
2016,PIT,R. Vogelsong,80,80,51,44,40,61,11,4.95
2016,PIT,G. Cole,119,135,57,50,36,105,7,3.78
2016,PIT,J. Locke,125,151,81,77,44,73,17,5.54
2016,PIT,A.J. Schugel,48,41,22,21,13,46,4,3.94
2016,PIT,R. Scahill,15,19,10,9,6,14,1,5.40
2016,PIT,J. Hughes,49,62,24,20,22,34,6,3.67
2016,PIT,W. Boscan,15,15,11,11,7,8,2,6.60
2016,PIT,J. Taillon,104,99,40,39,17,85,13,3.38
2016,PIT,C. Partch,0,2,3,3,2,0,0,0
2016,PIT,J. Rondon,3,9,7,7,1,4,1,21.00
2016,PIT,E. Kratz,1,2,0,0,0,1,0,0.00
2016,PIT,C. Kuhl,70,73,34,33,20,53,7,4.24
2016,PIT,S. Brault,32,45,26,18,17,29,5,5.06
2016,PIT,T. Glasnow,23,22,13,11,13,24,2,4.30
2016,PIT,F. Vazquez,24,23,13,10,18,39,3,3.75
2016,PIT,A. Bastardo,20,19,13,11,11,28,3,4.95
2016,PIT,I. Nova,64,68,27,22,3,52,4,3.09
2016,PIT,K. Marte,3,5,5,0,2,1,2,0.00
2016,PIT,T. Williams,11,19,13,11,5,11,4,9.00
2016,PIT,D. Hutchison,11,15,7,7,3,10,2,5.73
2016,PIT,Z. Phillips,5,8,2,2,1,6,1,3.60
2016,PIT,W. LeBlanc,12,7,3,1,2,10,0,0.75
2016,PIT,P. Coke,3,3,0,0,3,3,0,0.00
2016,TOR,M. Stroman,210,216,110,105,57,177,24,4.50
2016,TOR,R. Osuna,78,59,23,22,14,92,9,2.54
2016,TOR,R.A. Dickey,165,169,97,84,63,126,28,4.58
2016,TOR,J. Chavez,34,43,22,21,10,42,9,5.56
2016,TOR,B. Cecil,29,39,17,16,11,49,6,4.97
2016,TOR,D. Storen,31,43,23,23,10,32,6,6.68
2016,TOR,A. Sanchez,201,166,76,71,69,171,17,3.18
2016,TOR,F. Morales,3,3,4,4,2,2,1,12.00
2016,TOR,J.A. Happ,201,181,75,72,62,172,23,3.22
2016,TOR,G. Floyd,27,23,14,14,8,30,4,4.67
2016,TOR,A. Leon,2,3,2,2,1,2,1,9.00
2016,TOR,J. Biagini,64,72,28,23,20,68,3,3.23
2016,TOR,M. Estrada,196,147,79,73,66,184,26,3.35
2016,TOR,P. Venditte,6,11,8,5,4,7,1,7.50
2016,TOR,C. Girodo,9,11,5,5,2,5,3,5.00
2016,TOR,D. Hutchison,12,13,7,7,4,12,4,5.25
2016,TOR,R. Tepera,15,17,8,6,8,18,1,3.60
2016,TOR,D. Antolin,2,4,3,3,1,1,1,13.50
2016,TOR,A. Loup,9,15,8,8,4,15,2,8.00
2016,TOR,J. Grilli,41,29,17,17,19,61,8,3.73
2016,TOR,S. Diamond,1,2,3,3,2,0,0,27.00
2016,TOR,B. Schultz,13,17,10,10,3,10,3,6.92
2016,TOR,R. Goins,1,2,0,0,1,0,0,0.00
2016,TOR,D. Barney,1,1,1,1,0,1,1,9.00
2016,TOR,J. Benoit,21,17,1,1,9,24,1,0.43
2016,TOR,S. Feldman,12,23,15,14,6,14,2,10.50
2016,TOR,D. Barnes,11,14,6,6,5,14,0,4.91
2016,TOR,F. Liriano,49,44,24,18,17,53,7,3.31
2016,TOR,M. Dermody,1,6,4,4,0,5,1,36.00
2016,TB,C. Archer,203,189,104,93,70,240,30,4.12
2016,TB,E. Romero,39,43,32,31,29,53,8,7.15
2016,TB,R. Webb,14,27,11,10,3,11,2,6.43
2016,TB,D. Eveland,17,32,23,23,19,21,3,12.18
2016,TB,D. Smyly,178,178,105,97,50,173,33,4.90
2016,TB,D. Farquhar,31,33,14,12,15,46,8,3.48
2016,TB,S. Geltz,23,24,17,17,9,25,11,6.65
2016,TB,J. Odorizzi,191,179,84,81,54,170,30,3.82
2016,TB,A. Colome,50,43,12,12,15,74,6,2.16
2016,TB,M. Moore,126,125,62,59,40,109,20,4.21
