Season,Team,Pitcher,Indicator,Value
2016,CLE,C. Kluber,IP,246.30
2016,WSH,M. Scherzer,IP,238.70
2016,SF,M. Bumgarner,IP,237.40
2016,CHC,J. Lester,IP,233.90
2016,DET,J. Verlander,IP,231.40
2016,BOS,D. Price,IP,229.60
2016,CHW,C. Sale,IP,225.50
2016,SF,J. Cueto,IP,225.10
2016,BOS,R. Porcello,IP,223.60
2016,CHC,J. Arrieta,IP,217.10
2016,LAD,K. Jansen,H,0.53
2016,SD,R. Buchter,H,0.58
2016,BAL,Z. Britton,H,0.61
2016,MIL,T. Thornburg,H,0.62
2016,CLE,C. Allen,H,0.65
2016,SD,D. Pomeranz,H,0.66
2016,MIA,K. Barraclough,H,0.66
2016,HOU,L. Gregerson,H,0.69
2016,LAD,C. Kershaw,H,0.70
2016,CHC,J. Arrieta,H,0.71
2016,BAL,Z. Britton,R,0.11
2016,TB,A. Colome,R,0.24
2016,LAD,K. Jansen,R,0.24
2016,CLE,D. Otero,R,0.24
2016,HOU,C. Devenski,R,0.25
2016,LAD,C. Kershaw,R,0.26
2016,NYM,A. Reed,R,0.26
2016,STL,S. Oh,R,0.27
2016,TEX,S. Dyson,R,0.28
2016,MIA,D. Phelps,R,0.28
2016,BAL,Z. Britton,ER,0.06
2016,CLE,D. Otero,ER,0.21
2016,STL,S. Oh,ER,0.23
2016,LAD,C. Kershaw,ER,0.23
2016,TB,A. Colome,ER,0.24
2016,LAD,K. Jansen,ER,0.24
2016,CHC,K. Hendricks,ER,0.24
2016,NYM,A. Reed,ER,0.24
2016,BAL,B. Brach,ER,0.25
2016,CLE,C. Allen,ER,0.25
2016,PIT,I. Nova,BB,0.05
2016,LAD,C. Kershaw,BB,0.09
2016,OAK,Z. Neal,BB,0.09
2016,CLE,J. Tomlin,BB,0.14
2016,BOS,R. Porcello,BB,0.14
2016,CLE,D. Otero,BB,0.15
2016,PIT,J. Taillon,BB,0.16
2016,KC,K. Herrera,BB,0.17
2016,STL,M. Leake,BB,0.17
2016,NYM,B. Colon,BB,0.17
2016,NYY,D. Betances,K,1.91
2016,HOU,K. Giles,K,1.67
2016,MIA,K. Barraclough,K,1.66
2016,LAD,K. Jansen,K,1.64
2016,HOU,M. Feliz,K,1.62
2016,SD,B. Hand,K,1.47
2016,CLE,C. Allen,K,1.47
2016,BAL,M. Givens,K,1.47
2016,TB,A. Colome,K,1.45
2016,MIL,T. Thornburg,K,1.44
2016,MIA,K. Barraclough,HR,0.01
2016,BAL,Z. Britton,HR,0.02
2016,MIA,A. Ramos,HR,0.02
