Season,Team,Hitter,Indicator,Value
2016,BOS,M. Betts,AB,682.00
2016,CHC,K. Bryant,AB,672.00
2016,LAD,C. Seager,AB,671.00
2016,CLE,J. Kipnis,AB,671.00
2016,BOS,X. Bogaerts,AB,664.00
2016,CLE,F. Lindor,AB,662.00
2016,SEA,R. Cano,AB,656.00
2016,CHC,A. Rizzo,AB,651.00
2016,BAL,M. Machado,AB,648.00
2016,TB,E. Longoria,AB,646.00
2016,WSH,W. Difo,R,0.23
2016,LAA,M. Trout,R,0.23
2016,BOS,M. Hernandez,R,0.22
2016,TOR,J. Donaldson,R,0.21
2016,CHC,C. Coghlan,R,0.20
2016,TEX,D. DeShields,R,0.20
2016,LAD,A. Toles,R,0.20
2016,CHC,K. Bryant,R,0.20
2016,PIT,M. Joyce,R,0.19
2016,COL,C. Blackmon,R,0.19
2016,WSH,D. Murphy,H,0.35
2016,COL,D. LeMahieu,H,0.35
2016,WSH,T. Turner,H,0.34
2016,HOU,J. Altuve,H,0.34
2016,CLE,B. Guyer,H,0.33
2016,NYM,T.J. Rivera,H,0.33
2016,CIN,J. Votto,H,0.33
2016,CIN,J. Peraza,H,0.32
2016,COL,C. Blackmon,H,0.32
2016,LAD,A. Toles,H,0.32
2016,STL,A. Wainwright,RBI,0.29
2016,BOS,D. Ortiz,RBI,0.23
2016,CIN,J. Bruce,RBI,0.22
2016,COL,N. Arenado,RBI,0.22
2016,TOR,E. Encarnacion,RBI,0.21
2016,NYY,G. Sanchez,RBI,0.20
2016,LAA,A. Pujols,RBI,0.20
2016,BOS,H. Ramirez,RBI,0.20
2016,WSH,D. Murphy,RBI,0.20
2016,CHC,D. Ross,RBI,0.20
2016,PIT,M. Joyce,BB,0.25
2016,CHW,A. Avila,BB,0.22
2016,WSH,B. Harper,BB,0.22
2016,MIL,J. Elmore,BB,0.22
2016,LAA,M. Trout,BB,0.21
2016,CHC,C. Coghlan,BB,0.21
2016,TOR,J. Bautista,BB,0.20
2016,CIN,J. Votto,BB,0.19
2016,SF,B. Belt,BB,0.19
2016,ARI,P. Goldschmidt,BB,0.19
2016,LAA,A. Simmons,K,0.09
2016,HOU,Y. Gurriel,K,0.09
2016,CHW,J. Shuck,K,0.10
2016,WSH,B. Revere,K,0.10
2016,DET,J. Iglesias,K,0.11
2016,WSH,D. Murphy,K,0.11
2016,NYM,J. Loney,K,0.11
2016,SF,J. Panik,K,0.11
2016,SEA,N. Aoki,K,0.11
2016,HOU,J. Altuve,K,0.11
2016,BOS,D. Ortiz,SLG,0.67
2016,MIN,K. Vargas,SLG,0.66
2016,COL,T. Story,SLG,0.66
2016,NYY,G. Sanchez,SLG,0.65
2016,SEA,M. Zunino,SLG,0.64
2016,BOS,S. Leon,SLG,0.64
2016,WSH,D. Murphy,SLG,0.63
2016,STL,J. Hazelbaker,SLG,0.62
2016,STL,A. Diaz,SLG,0.60
2016,PIT,J. Kang,SLG,0.60
2016,WSH,D. Murphy,AVG,0.35
2016,COL,D. LeMahieu,AVG,0.35
2016,WSH,T. Turner,AVG,0.34
2016,HOU,J. Altuve,AVG,0.34
2016,CLE,B. Guyer,AVG,0.33
2016,NYM,T.J. Rivera,AVG,0.33
2016,CIN,J. Votto,AVG,0.33
2016,CIN,J. Peraza,AVG,0.32
2016,COL,C. Blackmon,AVG,0.32
2016,LAD,A. Toles,AVG,0.32
2016,COL,D. LeMahieu,OBP,0.45
2016,LAA,M. Trout,OBP,0.44
2016,WSH,D. Murphy,OBP,0.44
2016,WSH,T. Turner,OBP,0.44
2016,CLE,B. Guyer,OBP,0.44
2016,LAD,A. Toles,OBP,0.43
2016,HOU,J. Altuve,OBP,0.43
2016,COL,C. Blackmon,OBP,0.43
2016,CIN,J. Votto,OBP,0.43
2016,DET,C. Maybin,OBP,0.43
2017,CLE,F. Lindor,AB,677.00
2017,ATL,E. Inciarte,AB,671.00
2017,HOU,J. Altuve,AB,668.00
2017,COL,C. Blackmon,AB,657.00
2017,MIA,D. Strange-Gordon,AB,653.00
2017,NYY,B. Gardner,AB,650.00
2017,TEX,E. Andrus,AB,648.00
2017,BOS,M. Betts,AB,644.00
2017,BAL,M. Machado,AB,634.00
2017,HOU,A. Bregman,AB,634.00
2017,WSH,A. Eaton,R,0.26
2017,NYY,A. Judge,R,0.23
2017,LAA,M. Trout,R,0.23
2017,OAK,B. Powell,R,0.22
2017,WSH,B. Harper,R,0.22
2017,LAA,E. Young Jr.,R,0.22
2017,PHI,R. Hoskins,R,0.22
2017,HOU,J. Marisnick,R,0.22
2017,STL,T. Pham,R,0.21
2017,COL,C. Blackmon,R,0.21
2017,ARI,J. Hazelbaker,H,0.35
2017,HOU,J. Altuve,H,0.34
2017,PHI,H. Kendrick,H,0.34
2017,CHW,A. Garcia,H,0.33
2017,COL,C. Blackmon,H,0.33
2017,SF,B. Posey,H,0.32
2017,OAK,B. Powell,H,0.32
2017,CIN,J. Votto,H,0.32
2017,DET,J. Candelario,H,0.32
2017,BOS,E. Nunez,H,0.32
2017,PHI,R. Hoskins,RBI,0.28
2017,ARI,J.D. Martinez,RBI,0.27
2017,OAK,M. Olson,RBI,0.24
2017,COL,P. Valaika,RBI,0.24
2017,TOR,T. Hernandez,RBI,0.23
2017,WSH,A. Lind,RBI,0.22
2017,TOR,R. Lopez,RBI,0.22
