team,score,walksissued,stolenbases,strikeoutsthrown,totalbases,date,opponent,opponent_score,home
STL,1,5,0,5,5,2016-04-03,PIT,4,0
TOR,5,1,0,7,11,2016-04-03,TB,3,0
NYM,3,2,0,3,8,2016-04-04,KC,4,0
SF,12,5,1,10,30,2016-04-04,MIL,3,0
MIN,2,5,0,10,10,2016-04-04,BAL,3,0
SEA,2,6,0,10,10,2016-04-04,TEX,3,0
WSH,4,5,1,11,15,2016-04-04,ATL,3,0
PHI,2,3,0,7,10,2016-04-04,CIN,6,0
LAD,15,2,0,10,26,2016-04-04,SD,0,0
TOR,5,4,0,9,17,2016-04-04,TB,3,0
COL,10,3,1,13,31,2016-04-05,ARI,5,0
CHC,9,1,0,7,17,2016-04-05,LAA,0,0
CHW,4,3,0,10,10,2016-04-05,OAK,3,0
HOU,5,4,3,8,11,2016-04-05,NYY,3,0
BOS,6,3,0,15,18,2016-04-05,CLE,2,0
NYM,2,1,2,12,9,2016-04-05,KC,0,0
STL,5,2,0,12,15,2016-04-05,PIT,6,0
DET,8,3,0,10,23,2016-04-05,MIA,7,0
TOR,2,0,2,9,11,2016-04-05,TB,3,0
SEA,10,5,0,11,26,2016-04-06,TEX,2,0
SF,2,0,1,6,11,2016-04-06,MIL,1,0
COL,6,4,0,8,20,2016-04-06,ARI,11,0
CHC,6,0,0,6,19,2016-04-06,LAA,1,0
CHW,5,0,0,10,17,2016-04-06,OAK,4,0
LAD,3,0,1,11,10,2016-04-06,SD,0,0
TOR,3,1,0,7,9,2016-04-06,TB,5,0
SF,3,7,0,9,12,2016-04-06,MIL,4,0
SEA,9,2,0,11,24,2016-04-06,TEX,5,0
COL,4,1,0,6,17,2016-04-06,ARI,3,0
DET,7,4,0,6,22,2016-04-06,MIA,3,0
BOS,6,6,1,6,21,2016-04-06,CLE,7,0
PHI,2,0,0,9,10,2016-04-06,CIN,3,0
MIN,2,6,0,6,11,2016-04-06,BAL,4,0
HOU,6,7,0,7,24,2016-04-06,NYY,16,0
STL,1,7,0,5,8,2016-04-06,PIT,5,0
WSH,3,3,0,8,10,2016-04-06,ATL,1,0
LAD,7,0,0,7,20,2016-04-07,SD,0,0
CHW,1,3,0,8,7,2016-04-07,OAK,2,0
PHI,6,5,0,9,21,2016-04-07,CIN,10,0
CHW,6,3,1,6,14,2016-04-07,OAK,1,0
HOU,5,1,0,6,17,2016-04-07,NYY,8,0
MIA,6,9,1,10,16,2016-04-07,WSH,4,0
LAD,6,3,0,6,19,2016-04-07,SF,12,0
MIN,2,0,1,7,14,2016-04-07,BAL,4,0
CHC,14,2,1,10,24,2016-04-08,ARI,6,0
TEX,3,4,0,7,7,2016-04-08,LAA,4,0
NYY,0,0,0,9,3,2016-04-08,DET,4,0
PHI,2,4,0,5,9,2016-04-08,NYM,7,0
CLE,7,4,0,9,14,2016-04-08,CHW,1,0
SD,13,6,3,8,29,2016-04-08,COL,6,0
TB,1,2,0,6,9,2016-04-08,BAL,6,0
BOS,8,5,0,10,18,2016-04-08,TOR,7,0
PIT,6,6,1,5,12,2016-04-08,CIN,5,0
STL,7,5,0,9,25,2016-04-08,ATL,4,0
HOU,4,4,1,12,16,2016-04-09,MIL,6,0
MIN,3,4,1,10,13,2016-04-09,KC,4,0
